animekaId,name,score,votes,country,episodes,format,duration,duration_global,running,date_start,date_end,categories,studios,authors,name_original,url,source
3322,Haruniwa Ie no Sanninme,2.67,6,Japon,45,eps,25,1125,False,1998,1998,COMÉDIE,TôEI ANIMATION,MATSUI YUKIKO,Haruniwa Ie no Sanninme,http://animeka.com/animes/detail/haruba-ke-no-sanninme.html,http://animeka.com/animes/~_124.html
3323,Kocchi Muite Miko,1.43,7,Japon,42,eps,25,1050,False,1998,1999,COMÉDIE,TôEI ANIMATION,ONOERIKO,Kocchi Muite Miko,http://animeka.com/animes/detail/kocchi-muite-miko.html,http://animeka.com/animes/~_163.html
5472,La Mante religieuse (2004),4.29,7,Chine,1,film,5,5,False,1988,1988,DRAME|CONTES & RÉCITS,SHANGHAI FINE ARTS FILM STUDIO,HU JINQING,Non sp&eacute;cifi&eacute,http://animeka.com/animes/detail/la-mante-religieuse.html,http://animeka.com/animes/~_179.html
3325,Heli-Tako Pu-Chan,4.0,5,Japon,42,eps,25,1050,False,1998,1999,COMÉDIE,TôEI ANIMATION,SASAKI TAKEMARU,Heli-Tako Pu-Chan,http://animeka.com/animes/detail/heli-tako-pu-chan.html,http://animeka.com/animes/~_126.html
5470,Les Saules en hiver (1997),8.5,4,Grande-Bretagne,1,film,61,61,False,1997,1997,FAMILIAL & JEUNESSE|CONTES & RÉCITS,CARLTON UK,HORWOOD WILLIAM,The Willows in Winter,http://animeka.com/animes/detail/saules-en-hiver.html,http://animeka.com/animes/~_207.html
5471,Impression de montagne et d'eau (2004),9.22,9,Chine,1,film,19,19,False,1988,1988,DRAME|CONTES & RÉCITS,SHANGHAI FINE ARTS FILM STUDIO,TE WEI,shanshui qing,http://animeka.com/animes/detail/impression-de-montagne-et-deau.html,http://animeka.com/animes/~_139.html
3328,Pipopapo Patrol-kun,8.0,5,Japon,65,eps,25,1625,False,2000,2001,COMÉDIE,TôEI ANIMATION,TOUDOU IZUMI,Pipopapo Patrol-kun,http://animeka.com/animes/detail/pipopapo-patrol-kun.html,http://animeka.com/animes/~_277.html
3329,Nagagutsu Sanjuushi,5.25,4,Japon,1,film,53,53,False,1972,1972,AVENTURE|FANTASTIQUE & MYTHE,TôEI ANIMATION,PERRAULT CHARLES,Nagagutsu Sanjuushi,http://animeka.com/animes/detail/nagagutsu-sanjuushi.html,http://animeka.com/animes/~_252.html
5478,La Rose de Bagdad,4.71,7,Italie,1,film,76,76,False,1941,1946,AMOUR & AMITIÉ|CONTES & RÉCITS,TRANS-NATIONAL|IRMA FILM,DOMENEGHINI ANTON GINO|RECUEIL DES MILLE ET UNE NUITS,La rosa di Bagdad,http://animeka.com/animes/detail/rose-de-bagdad.html,http://animeka.com/animes/~_181.html
5479,I fratelli Dinamite,0.0,1,Italie,1,film,86,86,False,1949,1949,COMÉDIE,PAGOT FILM,PAGOTTO ANTONIO [PAAGOTTO TONI]|PAGOTTO MARCO [PAGOTTO NINO,I fratelli Dinamite,http://animeka.com/animes/detail/i-fratelli-dinamite.html,http://animeka.com/animes/~_136.html
9890,Non Non Biyori Repeat (2015),10.0,2,Japon,,,,,,2015,2015,TRANCHE DE VIE,SILVER LINK,ATTO,Non Non Biyori Repeat,http://animeka.com/animes/detail/non-non-biyori2.html,http://animeka.com/animes/~_260.html
5519,Yattokame Tanteidan,5.0,2,Japon,14,eps,25,350,False,2007,2008,ÉNIGME & POLICIER|COMÉDIE,NO SIDE,SHIMIZU YOSHINORI,Yattokame Tanteidan,http://animeka.com/animes/detail/yattokame-tanteidan.html,http://animeka.com/animes/~_380.html
5518,Appleseed Saga Ex Machina (2008),9.0,217,Japon,1,film,105,105,False,2007,2007,ACTION|CYBER & MECHA|ESPACE & SCI-FICTION|ANIMATION 3D,TôEI COMPANY|MICOTT & BASARA|DIGITAL FRONTIER,SHIROW MASAMUNE,Appleseed Saga Ex Machina,http://animeka.com/animes/detail/appleseed-saga-ex-machina.html,http://animeka.com/animes/~_17.html
5511,Kamen no Maid Guy,8.71,560,Japon,12,eps,25,300,False,2008,2008,COMÉDIE|ECCHI,RONDO ROBE|MADHOUSE PRODUCTION,AKAI MARUBORO,Kamen no Maid Guy,http://animeka.com/animes/detail/kamen-no-maid-guy.html,http://animeka.com/animes/~_153.html
5510,Metal Hazard Mugen,8.67,36,Japon,26,eps,25,650,False,2008,2008,CYBER & MECHA|ESPACE & SCI-FICTION,WEDGE HOLDINGS|BEE TRAIN PRODUCTION|RADIX,SHIKI SATOSHI,Metal Hazard Mugen,http://animeka.com/animes/detail/metal-hazard-mugen.html,http://animeka.com/animes/~_233.html
5513,Minami-ke Okawari,9.23,317,Japon,13,eps,25,325,False,2008,2008,COMÉDIE,STARCHILD RECORDS|ASREAD,SAKURABA COHARU,Minami-ke Okawari,http://animeka.com/animes/detail/minami-ke-okawari.html,http://animeka.com/animes/~_240.html
5512,Mai-Otome 0 : Cipher,9.31,444,Japon,3,oav,30,90,False,2008,2008,ESPACE & SCI-FICTION,SUNRISE|BANDAI VISUAL,YATATE HAJIME [SUNRISE,Mai-Otome 0 ~S.ifr~,http://animeka.com/animes/detail/mai-otome-0-cipher.html,http://animeka.com/animes/~_222.html
5514,Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,6.54,54,Japon,4,oav,25,100,False,2007,2008,FANTASTIQUE & MYTHE|COMÉDIE,STARCHILD RECORDS|GANGES|CHAOS PROJECT,SUZUKI JIRO,Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,http://animeka.com/animes/detail/ryofuko-chan.html,http://animeka.com/animes/~_380.html
5517,Nezumi Monogatari - George to Gerald no Bouken,3.33,3,Japon,1,film,53,53,False,2007,2007,AVENTURE|FAMILIAL & JEUNESSE,SANRIO DIGITAL|MADHOUSE PRODUCTION,TSUJI SHINTARO|SANRIO,Nezumi Monogatari: George to Gerald no Bouken,http://animeka.com/animes/detail/nezumi-monogatari.html,http://animeka.com/animes/~_257.html
5516,Cinnamon the Movie,10.0,3,Japon,1,film,45,45,False,2007,2007,AVENTURE|FAMILIAL & JEUNESSE,SANRIO DIGITAL|MADHOUSE PRODUCTION,SANRIO,Cinnamon the Movie,http://animeka.com/animes/detail/cinnamon-the-movie.html,http://animeka.com/animes/~_55.html
3469,Machikado no Märchen,6.19,26,Japon,1,oav,52,52,False,1984,1984,COMÉDIE|AMOUR & AMITIÉ,PONY CANYON|KITTY FILMS,KATSURA MUTSUMI,Machikado no Meruhen,http://animeka.com/animes/detail/machikado-no-meruhen.html,http://animeka.com/animes/~_217.html
1977,La Ligue des justiciers (2002),9.28,616,États-Unis,52,eps,22,1144,False,2001,2004,ACTION|AVENTURE|CARTOON & COMIC,WARNER BROS. ANIMATION,SEKOWSKY MIKE|FOX GARDNER|DETECTIVE COMICS (DC),Justice League,http://animeka.com/animes/detail/ligue-justiciers.html,http://animeka.com/animes/~_178.html
537,La Bande à Picsou (1990),9.3,386,États-Unis,100,eps,25,2500,False,1987,1990,AVENTURE|CARTOON & COMIC|COMÉDIE,WALT DISNEY TELEVISION,Non sp&eacute;cifi&eacute;,Disney's DuckTales,http://animeka.com/animes/detail/bande-picsou.html,http://animeka.com/animes/~_174.html
536,Babel II - OAV (1996),7.46,72,Japon,4,oav,30,120,False,1992,1992,ACTION|ESPACE & SCI-FICTION,J.C. STAFF,YOKOYAMA MITSUTERU,Babel Nisei,http://animeka.com/animes/detail/babel-ii-oav.html,http://animeka.com/animes/~_24.html
535,Witch Hunter Robin (2004),9.26,1212,Japon,26,eps,25,650,False,2002,2002,ACTION|FANTASTIQUE & MYTHE,SUNRISE,YATATE HAJIME [SUNRISE]|MURASE SHUKOU,Witch Hunter Robin,http://animeka.com/animes/detail/witch-hunter-robin.html,http://animeka.com/animes/~_376.html
534,Les Aventures de Huckleberry Finn (1990),8.19,67,Japon,26,eps,25,650,False,1976,1976,AVENTURE|COMÉDIE,GROUP TAC,TWAIN MARK [CLEMENS SAMUEL LANGHORNE,Huckleberry no bôken,http://animeka.com/animes/detail/huckleberry.html,http://animeka.com/animes/~_196.html
533,Les Aventures d'une mouche (1999),8.8,174,France,65,eps,5,325,False,1999,1999,FAMILIAL & JEUNESSE|COMÉDIE,STUDIO ARMADA TMT,TRONDHEIM LEWIS,Les Aventures d'une mouche,http://animeka.com/animes/detail/aventures-une-mouche.html,http://animeka.com/animes/~_196.html
532,Azu Manga Daioh (2005),9.16,946,Japon,26,eps,24,624,False,2002,2002,COMÉDIE,J.C. STAFF|IMAGICA|GENCO,AZUMA KIYOHIKO,Azumanga Daioh,http://animeka.com/animes/detail/azu-manga-daioh.html,http://animeka.com/animes/~_23.html
531,Les Aventures du Bosco (1990),9.66,239,Japon,26,eps,30,780,False,1986,1987,AVENTURE|FAMILIAL & JEUNESSE|FANTASTIQUE & MYTHE,NIPPON ANIMATION,WOLF TONY,Bosco daibôken,http://animeka.com/animes/detail/aventures-du-bosco.html,http://animeka.com/animes/~_198.html
530,Claire et Tipoune (1988),8.56,68,Japon,63,eps,25,1575,False,1981,1982,COMÉDIE,"TMS ENTERTAINMENT CO.,LTD.",TAKANASHI SHIZUE|YUKIMURO SHUN'ICHI,Ohayô ! Spank,http://animeka.com/animes/detail/claire-et-tipoune.html,http://animeka.com/animes/~_55.html
539,"Batman, la relève (1999)",8.21,266,États-Unis,52,eps,22,1144,False,1999,2001,ACTION|CARTOON & COMIC|FANTASTIQUE & MYTHE,WARNER BROS. ANIMATION,KANE BOB,Batman Beyond,http://animeka.com/animes/detail/batman-releve.html,http://animeka.com/animes/~_29.html
10028,Le Petit Prince - le film (2015),0.0,1,France,1,film,None,,False,2015,2015,AVENTURE|FAMILIAL & JEUNESSE|CONTES & RÉCITS,PARAMOUNT PICTURES|ORANGE STUDIO|ONYX FILMS,DE SAINT-EXUPÉRY ANTOINE,The Little Prince,http://animeka.com/animes/detail/le_petit_prince_2015.html,http://animeka.com/animes/~_191.html
1558,Ashita no Joe 2 (film),9.21,104,Japon,1,film,112,112,False,1981,1981,ACTION|DRAME|SPORT,MUSHI PRODUCTION,CHIBA TETSUYA,Ashita no Joe 2 (film),http://animeka.com/animes/detail/ashita-no-joe-2-movie.html,http://animeka.com/animes/~_20.html
10029,"Taka no Tsume Go: Yoshida, Himitsukessha Yamerutteyo.",0.0,1,Japon,1,film,110,110,False,2013,2013,COMÉDIE,DLE INC. (DREAM LINK ENTERTAINMENT),Non sp&eacute;cifi&eacute;,"Taka no Tsume Go: Yoshida, Himitsukessha Yamerutteyo.",http://animeka.com/animes/detail/taka-no-tsume-go-yoshida-himitsukessha.html,http://animeka.com/animes/~_339.html
1906,Vampiyan Kids,4.31,26,Japon,26,eps,30,780,False,2001,2002,COMÉDIE|HORREUR,PRODUCTION I.G,PRODUCTION I.G,Vampiyan Kids,http://animeka.com/animes/detail/vampiyan-kids.html,http://animeka.com/animes/~_370.html
5136,Silly Symphonies n°38 - Au pays de la berceuse (2004),0.0,1,États-Unis,1,film,7,7,False,1933,1933,CONTES & RÉCITS,WALT DISNEY PICTURES,THE WALT DISNEY COMPANY,Lullaby Land,http://animeka.com/animes/detail/au-pays-de-la-berceuse.html,http://animeka.com/animes/~_320.html
3296,Super Duke (1982),8.0,9,Japon,21,eps,25,525,False,1976,1976,SPORT,TôEI ANIMATION,MOCHIZUKI MIKIYA,Machine Hayabusa,http://animeka.com/animes/detail/super-duke.html,http://animeka.com/animes/~_335.html
6518,Kachi (1989),8.0,5,Corée du Sud,2,tv-s,85,170,False,1987,1988,SPORT,KOREAN BROADCASTING SYSTEM,Non sp&eacute;cifi&eacute;,Tteodori Kkachi,http://animeka.com/animes/detail/kachi.html,http://animeka.com/animes/~_150.html
6519,Katie et Orbie (2004),0.0,1,Canada,234,eps,25,5850,False,1996,1996,ÉDUCATIF|FAMILIAL & JEUNESSE,LACEWOOD PRODUCTIONS,WICKS BEN|WICKS SUSAN,Katie and Orbie,http://animeka.com/animes/detail/katie-et-orbie.html,http://animeka.com/animes/~_156.html
5134,Silly Symphonies n°34 - Birds in the Spring,0.0,2,États-Unis,1,film,7,7,False,1933,1933,CONTES & RÉCITS,WALT DISNEY PICTURES,THE WALT DISNEY COMPANY,Birds in the Spring,http://animeka.com/animes/detail/birds-in-the-spring.html,http://animeka.com/animes/~_320.html
6510,Jimmy Neutron (2003),7.33,39,États-Unis,35,eps,22,770,False,2001,2003,CYBER & MECHA|ESPACE & SCI-FICTION|ANIMATION 3D,NICKELODEON,DAVIS JOHN A.|OEDEKERK STEVE,The Adventures of Jimmy Neutron - Boy Genius,http://animeka.com/animes/detail/jimmy-neutron.html,http://animeka.com/animes/~_147.html
